nodes,workers,time
1,3,9.504987997934222
1,4,6.737602213397622
1,5,5.31781817227602
1,6,4.5025731436908245
1,7,3.9679598547518253
1,8,3.6041254196316004
1,9,3.2634725216776133
1,10,3.042040003463626
1,11,2.8174780309200287
1,12,2.7698624581098557
1,13,1,14,2.463307222351432
1,15,2.4042125679552555
1,16,2.2723239175975323
1,17,2.227586332708597
1,18,1,19,2.1120725106447935
1,20,2.1136840134859085
1,21,2.037911592051387
1,22,2.026038482785225
1,23,1.9876910876482725
1,24,1.9849547874182463
1,25,1.9383570831269026
1,26,1.8360335379838943
1,27,1.875393869355321
1,28,1,29,1.8340401779860258
1,30,1.8410959001630545
1,31,1.8025321662425995
1,32,1.799406861886382
1,33,1.8065377715975046
32,33,4.013121631927788
