10000,1.616584e-03,1,24,9.633913e-01,9.181918e-01,1.047184e+00,9.825552e-01,2.217397e-01,9.977642e-02,8.871107e-02
100000,1.641709e-02,1,24,9.806897e-01,1.078468e+00,1.137973e+00,1.079446e+00,1.075522e+00,1.076014e+00,4.392920e-01
1000000,1.881189e-01,1,24,9.761771e-01,1.842237e+00,3.323540e+00,4.420975e+00,4.524574e+00,2.697843e+00,3.342555e+00
10000000,2.206864e+00,1,24,8.796342e-01,1.711854e+00,3.261974e+00,5.464929e+00,6.497809e+00,6.397358e+00,6.115049e+00
10000,1.696163e-03,2,24
100000,1.492865e-02,2,24
1000000,9.968175e-02,2,24
10000000,1.133995e+00,2,24
10000,1.487230e-03,4,24
100000,1.414803e-02,4,24
1000000,5.525355e-02,4,24
10000000,5.951099e-01,4,24
10000,1.585054e-03,8,24
100000,1.491512e-02,8,24
1000000,4.153776e-02,8,24
10000000,3.552165e-01,8,24
10000,7.023563e-03,16,24
100000,1.496954e-02,16,24
1000000,4.058667e-02,16,24
10000000,2.987519e-01,16,24
10000,1.560893e-02,24,24,9.977642e-02
100000,1.496269e-02,24,24,1.076014e+00
1000000,6.806822e-02,24,24,2.697843e+00
10000000,3.034429e-01,24,24,6.397358e+00
10000,1.755590e-02,32,24,8.871107e-02
100000,3.665004e-02,32,24,4.392920e-01
1000000,5.493924e-02,32,24,3.342555e+00
10000000,3.174518e-01,32,24,6.115049e+00
