size,processes,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
128,1,,,,,,,,,,
256,1,,,,,,,,,,
512,1,,,,,,,,,,
1024,1,,,,,,,,,,
128,2,,,,,,,,,,
256,2,,,,,,,,,,
512,2,,,,,,,,,,
1024,2,,,,,,,,,,
128,4,,,,,,,,,,
256,4,,,,,,,,,,
512,4,,,,,,,,,,
1024,4,,,,,,,,,,
128,8,,,,,,,,,,
256,8,,,,,,,,,,
512,8,,,,,,,,,,
1024,8,,,,,,,,,,
128,12,,,,,,,,,,
256,12,,,,,,,,,,
512,12,,,,,,,,,,
1024,12,,,,,,,,,,
128,16,,,,,,,,,,
256,16,,,,,,,,,,
512,16,,,,,,,,,,
1024,16,,,,,,,,,,
128,20,,,,,,,,,,
256,20,,,,,,,,,,
512,20,,,,,,,,,,
1024,20,,,,,,,,,,
128,24,,,,,,,,,,
256,24,,,,,,,,,,
512,24,,,,,,,,,,
1024,24,,,,,,,,,,
128,28,,,,,,,,,,
256,28,,,,,,,,,,
512,28,,,,,,,,,,
1024,28,,,,,,,,,,
128,32,,,,,,,,,,
256,32,,,,,,,,,,
512,32,,,,,,,,,,
1024,32,,,,,,,,,,
