1,7.90332e-05,7.54814e-05,7.85624e-05
2,7.87092e-05,4.40281e-05,4.02062e-05
4,7.70183e-05,2.5328e-05,2.22957e-05
8,8.07609e-05,2.03574e-05,1.55196e-05
16,7.65816e-05,2.33404e-05,1.19976e-05
24,7.63589e-05,3.25608e-05,1.90435e-05
32,8.34414e-05,4.57051e-05,2.64634e-05
48,7.78759e-05,0.00260324,2.36283e-05
1,1,3.0473,2.19776
2,1,14.5118,11.5014
4,1,19.1383,10.9692
8,1,25.4099,12.6891
16,1,44.7649,16.1761
24,1,242.176,40.9569
32,1,28070.6,50.0288
48,1,99385.5,66333.6
1,1,0.319689,0.460104
2,1,0.0747318,0.0934815
4,1,0.0552323,0.092314
8,1,0.0204651,0.040877
16,1,0.00762872,0.0377327
24,1,0.000318234,0.023612
32,1,0.000916453,0.0197716
48,1,9.38269e-05,0.0143009
